drucksache;datum_anfrage;datum_drucksache;titel;urheber;fraktionen;fragen;einzelfragen;seiten;format_erkannt;beantwortet;vorgang;datei
21/8424;2017-03-22;2017-03-28;Wieso sucht Zentraler Koordinierungsstab Flüchtlinge (ZKF) Personal im Bereich Baumaßnahmen Erstaufnahmen?;Karin Prien;CDU;4;8;2;True;True;52282;21_08424_wieso_sucht_zentraler_koordinierungsstab_fluechtlinge_zkf_personal_im_bereich_baumassnahmen_erstaufna.md
21/8425;2017-03-22;2017-03-28;Kommt Rot-Grün inzwischen seiner Verpflichtung der Kontrolle der privaten Wach- und Sicherheitsdienste in Hamburger Flüchtlingsunterkünften nach? (IV);Karin Prien;CDU;5;6;1;True;True;52283;21_08425_kommt_rot_gruen_inzwischen_seiner_verpflichtung_der_kontrolle_der_privaten_wach_und_sicherheitsdienst.md
21/8426;2017-03-22;2017-03-28;Quereinsteiger in den Hamburger Schuldienst – Lehrermangel auch in Hamburg?;Anna-Elisabeth von Treuenfels-Frowein;FDP;22;28;6;True;True;52284;21_08426_quereinsteiger_in_den_hamburger_schuldienst_lehrermangel_auch_in_hamburg.md
21/8429;2017-03-23;2017-03-31;Überseequartier;"Franziska Grunwaldt; Jörg Hamann";CDU;2;2;1;True;True;52285;21_08429_ueberseequartier.md
21/8430;2017-03-23;2017-03-31;Besoldung von Hamburger Lehrkräften – Lässt die Stadt ihre Lehrerinnen und Lehrer zu lange auf ihr Geld warten?;"André Trepoll; Karin Prien";CDU;6;9;2;True;True;52286;21_08430_besoldung_von_hamburger_lehrkraeften_laesst_die_stadt_ihre_lehrerinnen_und_lehrer_zu_lange_auf_ihr_ge.md
21/8431;2017-03-23;2017-03-31;Wettvermittlungsstellen (sogenannte Wettbüros) in Hamburg (II);Ralf Niedmers;CDU;9;18;4;True;True;52287;21_08431_wettvermittlungsstellen_sogenannte_wettbueros_in_hamburg_ii.md
21/8432;2017-03-23;2017-03-31;Hamburg-Messe, Hier: Haushaltsauswirkungen aus „Maßnahmen zur Verbesserung der Verkehrsinfrastruktur im Zusammenhang mit dem Ausbau der Hamburg Messe“;"Norbert Hackbusch; Stephan Jersch";Die Linke;6;7;3;True;True;52288;21_08432_hamburg_messe_hier_haushaltsauswirkungen_aus_massnahmen_zur_verbesserung_der_verkehrsinfrastruktur_im.md
21/8433;2017-03-23;2017-03-31;Halte- und Parkverstöße – Anzeigen durch Dritte;Martin Bill;GRÜNE;5;5;2;True;True;52289;21_08433_halte_und_parkverstoesse_anzeigen_durch_dritte.md
21/8434;2017-03-23;;Hat Rot-Grün endlich einen Überblick über die Flüchtlingskosten 2016?;Karin Prien;CDU;29;36;13;True;True;52290;21_08434_hat_rot_gruen_endlich_einen_ueberblick_ueber_die_fluechtlingskosten_2016.md
21/8435;2017-03-23;2017-03-31;Kürzungen der Eingliederungsmittel für Arbeitslosengeld-II-Leistungsempfänger aufgrund geringerer Bundesmittel;"Mehmet Yildiz; Inge Hannemann";Die Linke;4;3;2;True;True;52291;21_08435_kuerzungen_der_eingliederungsmittel_fuer_arbeitslosengeld_ii_leistungsempfaenger_aufgrund_geringerer_.md
21/8436;2017-03-23;2017-03-31;Rückkehrhilfen für Flüchtlinge 2016;Karin Prien;CDU;11;17;5;True;True;52292;21_08436_rueckkehrhilfen_fuer_fluechtlinge_2016.md
21/8437;2017-03-23;2017-03-31;Abschiebungsanordnungen gegen mutmaßliche Terroristen – Wie geht der Senat damit um?;Dennis Gladiator;CDU;5;11;2;True;True;52293;21_08437_abschiebungsanordnungen_gegen_mutmassliche_terroristen_wie_geht_der_senat_damit_um.md
21/8438;2017-03-23;2017-03-31;Stand der Umsetzung des Einheitlichen Patentgerichts;Richard Seelmaecker;CDU;5;6;4;True;True;52294;21_08438_stand_der_umsetzung_des_einheitlichen_patentgerichts.md
21/8439;2017-03-23;2017-03-31;"Der „Masterplan Active City“; alte Ideen neu verpackt?";Mehmet Yildiz;Die Linke;10;11;4;True;True;52295;21_08439_der_masterplan_active_city_alte_ideen_neu_verpackt.md
21/8440;2017-03-23;2017-03-31;Eine neue Privatisierungswelle der Sporthallen in Hamburg?!;Mehmet Yildiz;Die Linke;4;5;2;True;True;52296;21_08440_eine_neue_privatisierungswelle_der_sporthallen_in_hamburg.md
21/8441;2017-03-23;2017-03-31;Private Geld- und Sachspenden sowie Sponsorings an staatlichen Schulen seit 2013/2014;Sabine Boeddinghaus;Die Linke;12;24;12;True;True;52297;21_08441_private_geld_und_sachspenden_sowie_sponsorings_an_staatlichen_schulen_seit_2013_2014.md
21/8442;2017-03-23;2017-03-31;DIE LINKE Hamburg – Extremistische Teilstrukturen und Verbindungen zu gewaltorientierten linksextremistischen Gruppen (III);"Dirk Nockemann; Dr. Bernd Baumann; Dr. Joachim Körner";AfD;2;6;2;True;True;52298;21_08442_die_linke_hamburg_extremistische_teilstrukturen_und_verbindungen_zu_gewaltorientierten_linksextremist.md
21/8443;2017-03-23;2017-03-31;Schuldenstand der Freien und Hansestadt Hamburg (II) – Wie entwickelt sich die Verschuldung außerhalb des Kernhaushalts?;Katja Suding;FDP;5;8;3;True;True;52299;21_08443_schuldenstand_der_freien_und_hansestadt_hamburg_ii_wie_entwickelt_sich_die_verschuldung_ausserhalb_de.md
